id,scale,score,task,level
003SSKS,EF,12.18666667,MR,hard
003SSKS,FR,12.34666667,MR,hard
003SSKS,ME,8.115555556,MS,easy
003SSKS,PH,0.524444444,MS,easy
003SSKS,TI,1.431111111,MS,easy
003SSKS,PE,19.20888889,MS,easy
003SSKS,EF,2.924444444,MS,easy
003SSKS,FR,2.088888889,MS,easy
003SSKS,ME,1.786666667,MR,easy
003SSKS,PH,1.466666667,MR,easy
003SSKS,TI,0.168888889,MR,easy
003SSKS,PE,4.311111111,MR,easy
003SSKS,EF,8.346666667,MR,easy
003SSKS,FR,10.81777778,MR,easy
003SSKS,ME,2.906666667,ST,easy
003SSKS,PH,1.608888889,ST,easy
003SSKS,TI,6.391111111,ST,easy
003SSKS,PE,16.45333333,ST,easy
003SSKS,EF,2.284444444,ST,easy
003SSKS,FR,0.382222222,ST,easy
004SSDR,ME,1.701608279,MS,easy
004SSDR,PH,0.488966692,MS,easy
004SSDR,TI,3.505781721,MS,easy
004SSDR,PE,19.97996065,MS,easy
004SSDR,EF,3.165651118,MS,easy
004SSDR,FR,0,MS,easy
004SSDR,ME,8.119735171,ST,easy
004SSDR,PH,0.947404132,ST,easy
004SSDR,TI,8.947880702,ST,easy
004SSDR,PE,17.77650202,ST,easy
004SSDR,EF,9.080975894,ST,easy
004SSDR,FR,11.8759656,ST,easy
004SSDR,ME,18.57507007,MR,hard
004SSDR,PH,0.400236952,MR,hard
004SSDR,TI,3.121286054,MR,hard
004SSDR,PE,11.93511902,MR,hard
004SSDR,EF,18.01311414,MR,hard
004SSDR,FR,18.84126045,MR,hard
004SSDR,ME,16.10542261,MR,medium
004SSDR,PH,0.873462748,MR,medium
004SSDR,TI,2.056527625,MR,medium
004SSDR,PE,15.97232741,MR,medium
004SSDR,EF,17.08145091,MR,medium
004SSDR,FR,15.01108747,MR,medium
004SSDR,ME,17.15539268,ST,medium
004SSDR,PH,0.725579589,ST,medium
004SSDR,TI,18.58985842,ST,medium
004SSDR,PE,11.92033067,ST,medium
004SSDR,EF,16.94835571,ST,medium
004SSDR,FR,15.02587582,ST,medium
004SSDR,ME,3.195227828,MR,easy
004SSDR,PH,0.296718469,MR,easy
004SSDR,TI,0.134047345,MR,easy
004SSDR,PE,16.00190412,MR,easy
004SSDR,EF,5.028978368,MR,easy
004SSDR,FR,2.145257364,MR,easy
004SSDR,ME,19.97996065,ST,hard
004SSDR,PH,0.089682281,ST,hard
004SSDR,TI,19.89123053,ST,hard
004SSDR,PE,2.95861493,ST,hard
004SSDR,EF,19.97996065,ST,hard
004SSDR,FR,18.94477894,ST,hard
004SSDR,ME,19.99475057,MS,hard
004SSDR,PH,0.015740896,MS,hard
004SSDR,TI,19.01872227,MS,hard
004SSDR,PE,10.91472566,MS,hard
004SSDR,EF,19.87644217,MS,hard
004SSDR,FR,17.02229749,MS,hard
004SSDR,ME,13.90196398,MS,medium
004SSDR,PH,2.145257364,MS,medium
004SSDR,TI,12.00906079,MS,medium
004SSDR,PE,16.91878212,MS,medium
004SSDR,EF,14.87799228,MS,medium
004SSDR,FR,13.04424251,MS,medium
005SSDR,ME,8.029630308,MS,hard
005SSDR,PH,7.555555556,MS,hard
005SSDR,TI,9.985185411,MS,hard
005SSDR,PE,9.718518292,MS,hard
005SSDR,EF,13.80740809,MS,hard
005SSDR,FR,8.148148148,MS,hard
005SSDR,ME,9.7481486,MR,easy
005SSDR,PH,4.992592706,MR,easy
005SSDR,TI,4.859259146,MR,easy
005SSDR,PE,14.60740718,MR,easy
005SSDR,EF,5.06666678,MR,easy
005SSDR,FR,4.37037037,MR,easy
005SSDR,ME,10.0444449,ST,medium
005SSDR,PH,5.955556234,ST,medium
005SSDR,TI,10.10370438,ST,medium
005SSDR,PE,9.970370822,ST,medium
005SSDR,EF,10.84444512,ST,medium
005SSDR,FR,8.814814815,ST,medium
005SSDR,ME,7.229630082,MS,medium
005SSDR,PH,5.06666678,MS,medium
005SSDR,TI,4.93333322,MS,medium
005SSDR,PE,14.87407543,MS,medium
005SSDR,EF,9.896296748,MS,medium
005SSDR,FR,3.348148487,MS,medium
005SSDR,ME,5.896296748,MS,easy
005SSDR,PH,4.548148261,MS,easy
005SSDR,TI,2.918518632,MS,easy
005SSDR,PE,18.68148239,MS,easy
005SSDR,EF,2.622222335,MS,easy
005SSDR,FR,0.696296409,MS,easy
005SSDR,ME,6.340741193,ST,easy
005SSDR,PH,3.570370709,ST,easy
005SSDR,TI,2.177777891,ST,easy
005SSDR,PE,18.75555646,ST,easy
005SSDR,EF,2.903704043,ST,easy
005SSDR,FR,0.696296409,ST,easy
005SSDR,ME,NA,ST,hard
005SSDR,PH,19.85185185,ST,hard
005SSDR,TI,19.80740696,ST,hard
005SSDR,PE,2.044444331,ST,hard
005SSDR,EF,17.03703704,ST,hard
005SSDR,FR,18.51851852,ST,hard
005SSDR,ME,9.955556234,MR,medium
005SSDR,PH,5.185185185,MR,medium
005SSDR,TI,5.140740854,MR,medium
005SSDR,PE,15.91111247,MR,medium
005SSDR,EF,5.703703704,MR,medium
005SSDR,FR,1.674073961,MR,medium
005SSDR,ME,10.08888866,MR,hard
005SSDR,PH,4.044444331,MR,hard
005SSDR,TI,4.074074074,MR,hard
005SSDR,PE,12.48888934,MR,hard
005SSDR,EF,12.47407475,MR,hard
005SSDR,FR,2.355555782,MR,hard
006SSEE,ME,19.60140639,MS,medium
006SSEE,PH,6.801605095,MS,medium
006SSEE,TI,19.90088231,MS,medium
006SSEE,PE,9.607801187,MS,medium
006SSEE,EF,18.02638619,MS,medium
006SSEE,FR,17.94874562,MS,medium
006SSEE,ME,4.239427728,MR,medium
006SSEE,PH,0.157688181,MR,medium
006SSEE,TI,0.168780276,MR,medium
006SSEE,PE,13.48989039,MR,medium
006SSEE,EF,12.10343008,MR,medium
006SSEE,FR,12.22543903,MR,medium
006SSEE,ME,0.091138066,MS,easy
006SSEE,PH,1.533057218,MS,easy
006SSEE,TI,0.745547937,MS,easy
006SSEE,PE,19.06900547,MS,easy
006SSEE,EF,1.155939492,MS,easy
006SSEE,FR,11.43792893,MS,easy
006SSEE,ME,0.401705678,ST,easy
006SSEE,PH,0.723364565,ST,easy
006SSEE,TI,0.135504809,ST,easy
006SSEE,PE,19.96743161,ST,easy
006SSEE,EF,0.035679637,ST,easy
006SSEE,FR,0.146596495,ST,easy
006SSEE,ME,5.137853867,MR,easy
006SSEE,PH,6.346847207,MR,easy
006SSEE,TI,0.179871962,MR,easy
006SSEE,PE,8.631733658,MR,easy
006SSEE,EF,5.071303752,MR,easy
006SSEE,FR,3.740302278,MR,easy
006SSEE,ME,1.621790704,ST,medium
006SSEE,PH,0.235330391,ST,medium
006SSEE,TI,2.986067645,ST,medium
006SSEE,PE,6.502130808,ST,medium
006SSEE,EF,4.095235404,ST,medium
006SSEE,FR,1.255764664,ST,medium
006SSEE,ME,15.00945093,MR,hard
006SSEE,PH,0.224238705,MR,hard
006SSEE,TI,0.634631079,MR,hard
006SSEE,PE,3.562835305,MR,hard
006SSEE,EF,3.474101819,MR,hard
006SSEE,FR,18.2038548,MR,hard
006SSEE,ME,17.68254516,MS,hard
006SSEE,PH,NA,MS,hard
006SSEE,TI,15.83023486,MS,hard
006SSEE,PE,5.004753637,MS,hard
006SSEE,EF,13.78936632,MS,hard
006SSEE,FR,2.442575042,MS,hard
006SSEE,ME,18.31477248,ST,hard
006SSEE,PH,0.279697134,ST,hard
006SSEE,TI,16.17407753,ST,hard
006SSEE,PE,NA,ST,hard
006SSEE,EF,4.272701557,ST,hard
006SSEE,FR,2.963884273,ST,hard
007SSJM,ME,15.93777778,ST,medium
007SSJM,PH,12.82666667,ST,medium
007SSJM,TI,19.01333333,ST,medium
007SSJM,PE,7.351111111,ST,medium
007SSJM,EF,13.36,ST,medium
007SSJM,FR,17.04,ST,medium
007SSJM,ME,16.96888889,MR,hard
007SSJM,PH,14.16,MR,hard
007SSJM,TI,7.422222222,MR,hard
007SSJM,PE,9.413333333,MR,hard
007SSJM,EF,17.37777778,MR,hard
007SSJM,FR,13.04,MR,hard
007SSJM,ME,14.88888889,ST,hard
007SSJM,PH,13.62666667,ST,hard
007SSJM,TI,18.30222222,ST,hard
007SSJM,PE,2.248888889,ST,hard
007SSJM,EF,13.28888889,ST,hard
007SSJM,FR,17.23555556,ST,hard
007SSJM,ME,15.63555556,MS,medium
007SSJM,PH,13.39555556,MS,medium
007SSJM,TI,17.68,MS,medium
007SSJM,PE,5.093333333,MS,medium
007SSJM,EF,15.83111111,MS,medium
007SSJM,FR,16.04444444,MS,medium
007SSJM,ME,12.34666667,ST,easy
007SSJM,PH,9.555555556,ST,easy
007SSJM,TI,8.613333333,ST,easy
007SSJM,PE,13.44888889,ST,easy
007SSJM,EF,8.488888889,ST,easy
007SSJM,FR,8.346666667,ST,easy
007SSJM,ME,7.973333333,MR,easy
007SSJM,PH,6.728888889,MR,easy
007SSJM,TI,4.524444444,MR,easy
007SSJM,PE,14.40888889,MR,easy
007SSJM,EF,8.044444444,MR,easy
007SSJM,FR,8.488888889,MR,easy
007SSJM,ME,11.93777778,MR,medium
007SSJM,PH,8.506666667,MR,medium
007SSJM,TI,6.053333333,MR,medium
007SSJM,PE,8.115555556,MR,medium
007SSJM,EF,11.77777778,MR,medium
007SSJM,FR,9.04,MR,medium
007SSJM,ME,13.84,MS,hard
007SSJM,PH,12.29333333,MS,hard
007SSJM,TI,16.68444444,MS,hard
007SSJM,PE,2.462222222,MS,hard
007SSJM,EF,11.01333333,MS,hard
007SSJM,FR,10.28444444,MS,hard
007SSJM,ME,5.324444444,MS,easy
007SSJM,PH,NA,MS,easy
007SSJM,TI,5.537777778,MS,easy
007SSJM,PE,14.19555556,MS,easy
007SSJM,EF,6.96,MS,easy
007SSJM,FR,2.995555556,MS,easy
008SSEP,ME,2.93333322,ST,easy
008SSEP,PH,0.059259203,ST,easy
008SSEP,TI,3.007407294,ST,easy
008SSEP,PE,19.9555551,ST,easy
008SSEP,EF,5.022222448,ST,easy
008SSEP,FR,3.896296183,ST,easy
008SSEP,ME,13.02222245,MR,hard
008SSEP,PH,1.94074108,MR,hard
008SSEP,TI,0.029629743,MR,hard
008SSEP,PE,12,MR,hard
008SSEP,EF,13.95555623,MR,hard
008SSEP,FR,12.97777755,MR,hard
008SSEP,ME,13.98518541,MR,medium
008SSEP,PH,2.162963302,MR,medium
008SSEP,TI,0.962962963,MR,medium
008SSEP,PE,10.16296274,MR,medium
008SSEP,EF,14.19259304,MR,medium
008SSEP,FR,15.5407421,MR,medium
008SSEP,ME,16.78518564,MS,hard
008SSEP,PH,0.177777891,MS,hard
008SSEP,TI,17.25925926,MS,hard
008SSEP,PE,12.20740763,MS,hard
008SSEP,EF,18.31111202,MS,hard
008SSEP,FR,10.05925949,MS,hard
008SSEP,ME,14.99259214,MS,medium
008SSEP,PH,1.94074108,MS,medium
008SSEP,TI,19.00740786,MS,medium
008SSEP,PE,14.96296296,MS,medium
008SSEP,EF,17.91111247,MS,medium
008SSEP,FR,9.7481486,MS,medium
008SSEP,ME,11.94074051,MR,easy
008SSEP,PH,0.118518688,MR,easy
008SSEP,TI,0.607407746,MR,easy
008SSEP,PE,12.2962963,MR,easy
008SSEP,EF,14.48888934,MR,easy
008SSEP,FR,12.81481481,MR,easy
008SSEP,ME,15.46666802,ST,medium
008SSEP,PH,1.037037037,ST,medium
008SSEP,TI,18.53333424,ST,medium
008SSEP,PE,11.43703772,ST,medium
008SSEP,EF,17.14074029,ST,medium
008SSEP,FR,18.01481572,ST,medium
008SSEP,ME,19.33333333,ST,hard
008SSEP,PH,0.637036924,ST,hard
008SSEP,TI,19.57037127,ST,hard
008SSEP,PE,9.896296748,ST,hard
008SSEP,EF,15.08148193,ST,hard
008SSEP,FR,19.58518473,ST,hard
008SSEP,ME,9.88148216,MS,easy
008SSEP,PH,0.814814815,MS,easy
008SSEP,TI,4.207407633,MS,easy
008SSEP,PE,18.42963099,MS,easy
008SSEP,EF,12.07407407,MS,easy
008SSEP,FR,3.303703591,MS,easy
009SSAP,ME,15.02222358,MR,hard
009SSAP,PH,0.755555895,MR,hard
009SSAP,TI,10,MR,hard
009SSAP,PE,10.77037105,MR,hard
009SSAP,EF,11.00740786,MR,hard
009SSAP,FR,3.022222448,MR,hard
009SSAP,ME,11.98518541,MS,hard
009SSAP,PH,6.044444897,MS,hard
009SSAP,TI,16.19259304,MS,hard
009SSAP,PE,8.014814589,MS,hard
009SSAP,EF,12.05925949,MS,hard
009SSAP,FR,8.962962963,MS,hard
009SSAP,ME,12.05925949,ST,medium
009SSAP,PH,4,ST,medium
009SSAP,TI,11.92592593,ST,medium
009SSAP,PE,3.007407294,ST,medium
009SSAP,EF,NA,ST,medium
009SSAP,FR,10.96296296,ST,medium
009SSAP,ME,10.25185253,MS,medium
009SSAP,PH,NA,MS,medium
009SSAP,TI,11.60000045,MS,medium
009SSAP,PE,12.97777755,MS,medium
009SSAP,EF,8.044444897,MS,medium
009SSAP,FR,4.103703817,MS,medium
009SSAP,ME,3.022222448,MR,easy
009SSAP,PH,1.970370257,MR,easy
009SSAP,TI,1.970370257,MR,easy
009SSAP,PE,18,MR,easy
009SSAP,EF,3.007407294,MR,easy
009SSAP,FR,3.007407294,MR,easy
009SSAP,ME,9.00740786,MS,easy
009SSAP,PH,5.925925926,MS,easy
009SSAP,TI,5.985185411,MS,easy
009SSAP,PE,19.98518654,MS,easy
009SSAP,EF,5.022222448,MS,easy
009SSAP,FR,3.06666678,MS,easy
009SSAP,ME,12.93333379,ST,hard
009SSAP,PH,2.444444444,ST,hard
009SSAP,TI,18.01481572,ST,hard
009SSAP,PE,0.977778117,ST,hard
009SSAP,EF,11.03703704,ST,hard
009SSAP,FR,11.03703704,ST,hard
009SSAP,ME,11.03703704,MR,medium
009SSAP,PH,2.014815154,MR,medium
009SSAP,TI,2.992592706,MR,medium
009SSAP,PE,10.05925949,MR,medium
009SSAP,EF,10.99259327,MR,medium
009SSAP,FR,6.933333785,MR,medium
009SSAP,ME,0.948148374,ST,easy
009SSAP,PH,0.948148374,ST,easy
009SSAP,TI,1.911111337,ST,easy
009SSAP,PE,19.88148103,ST,easy
009SSAP,EF,7.170370596,ST,easy
009SSAP,FR,7.00740786,ST,easy
010SSEA,ME,13.00126603,MS,medium
010SSEA,PH,0.085269092,MS,medium
010SSEA,TI,10.00925702,MS,medium
010SSEA,PE,11.03127929,MS,medium
010SSEA,EF,12.89758145,MS,medium
010SSEA,FR,11.38676609,MS,medium
010SSEA,ME,13.01607637,MR,hard
010SSEA,PH,0.085269092,MR,hard
010SSEA,TI,5.461996558,MR,hard
010SSEA,PE,10.39436756,MR,hard
010SSEA,EF,11.52007339,MR,hard
010SSEA,FR,13.3567508,MR,hard
010SSEA,ME,9.298284433,MR,easy
010SSEA,PH,0.129705197,MR,easy
010SSEA,TI,6.676574603,MR,easy
010SSEA,PE,11.31270626,MR,easy
010SSEA,EF,10.46842739,MR,easy
010SSEA,FR,11.32751762,MR,easy
010SSEA,ME,12.92720619,MR,medium
010SSEA,PH,0,MR,medium
010SSEA,TI,9.994444648,MR,medium
010SSEA,PE,9.979633291,MR,medium
010SSEA,EF,10.8091008,MR,medium
010SSEA,FR,14.48245663,MR,medium
010SSEA,ME,10.00925702,ST,medium
010SSEA,PH,0,ST,medium
010SSEA,TI,11.75706425,ST,medium
010SSEA,PE,10.42399129,ST,medium
010SSEA,EF,10.82391318,ST,medium
010SSEA,FR,9.905573456,ST,medium
010SSEA,ME,6.365523905,ST,easy
010SSEA,PH,0.070457227,ST,easy
010SSEA,TI,9.55008767,ST,easy
010SSEA,PE,17.3559697,ST,easy
010SSEA,EF,12.37916463,ST,easy
010SSEA,FR,10.15737669,ST,easy
010SSEA,ME,11.10533913,ST,hard
010SSEA,PH,0.040833496,ST,hard
010SSEA,TI,13.66780251,ST,hard
010SSEA,PE,9.653772253,ST,hard
010SSEA,EF,11.44601356,ST,hard
010SSEA,FR,10.15737669,ST,hard
010SSEA,ME,14.23065441,MS,hard
010SSEA,PH,0.055645361,MS,hard
010SSEA,TI,15.13418278,MS,hard
010SSEA,PE,2.884722324,MS,hard
010SSEA,EF,14.58614122,MS,hard
010SSEA,FR,12.02367885,MS,hard
010SSEA,ME,6.513643575,MS,easy
010SSEA,PH,0,MS,easy
010SSEA,TI,4.706588882,MS,easy
010SSEA,PE,19.79993816,MS,easy
010SSEA,EF,8.157767241,MS,easy
010SSEA,FR,5.491621306,MS,easy
011SSAB,ME,14.88888889,MR,easy
011SSAB,PH,0.951111111,MR,easy
011SSAB,TI,3.902222222,MR,easy
011SSAB,PE,12.84444444,MR,easy
011SSAB,EF,15.99111111,MR,easy
011SSAB,FR,9.928888889,MR,easy
011SSAB,ME,17.98222222,MR,hard
011SSAB,PH,1.893333333,MR,hard
011SSAB,TI,9.946666667,MR,hard
011SSAB,PE,3.973333333,MR,hard
011SSAB,EF,13.04,MR,hard
011SSAB,FR,12.66666667,MR,hard
011SSAB,ME,19.06666667,MS,hard
011SSAB,PH,1.128888889,MS,hard
011SSAB,TI,17.96444444,MS,hard
011SSAB,PE,4.08,MS,hard
011SSAB,EF,17.96444444,MS,hard
011SSAB,FR,13.92888889,MS,hard
011SSAB,ME,13.80444444,MR,medium
011SSAB,PH,0.311111111,MR,medium
011SSAB,TI,13.04,MR,medium
011SSAB,PE,3.066666667,MR,medium
011SSAB,EF,10.90666667,MR,medium
011SSAB,FR,7.991111111,MR,medium
011SSAB,ME,19.79555556,MS,medium
011SSAB,PH,0.204444444,MS,medium
011SSAB,TI,14.96,MS,medium
011SSAB,PE,9.04,MS,medium
011SSAB,EF,17.85777778,MS,medium
011SSAB,FR,13.16444444,MS,medium
011SSAB,ME,9.928888889,MS,easy
011SSAB,PH,0.097777778,MS,easy
011SSAB,TI,2.533333333,MS,easy
011SSAB,PE,17.94666667,MS,easy
011SSAB,EF,3.813333333,MS,easy
011SSAB,FR,2.48,MS,easy
011SSAB,ME,16.11555556,ST,medium
011SSAB,PH,0.311111111,ST,medium
011SSAB,TI,NA,ST,medium
011SSAB,PE,1.022222222,ST,medium
011SSAB,EF,15.56444444,ST,medium
011SSAB,FR,11.10222222,ST,medium
011SSAB,ME,18.30222222,ST,hard
011SSAB,PH,0.346666667,ST,hard
011SSAB,TI,19.97333333,ST,hard
011SSAB,PE,0.808888889,ST,hard
011SSAB,EF,12.96888889,ST,hard
011SSAB,FR,11.08444444,ST,hard
011SSAB,ME,9.964444444,ST,easy
011SSAB,PH,0.08,ST,easy
011SSAB,TI,5.448888889,ST,easy
011SSAB,PE,15.22666667,ST,easy
011SSAB,EF,6.302222222,ST,easy
011SSAB,FR,3.44,ST,easy
012EROP,ME,5.985185411,ST,easy
012EROP,PH,0.962963189,ST,easy
012EROP,TI,9.940741645,ST,easy
012EROP,PE,9.940741645,ST,easy
012EROP,EF,3.925926378,ST,easy
012EROP,FR,4.177777778,ST,easy
012EROP,ME,9.925926378,ST,hard
012EROP,PH,0.962963189,ST,hard
012EROP,TI,9.896297201,ST,hard
012EROP,PE,0.162963189,ST,hard
012EROP,EF,4.014815267,ST,hard
012EROP,FR,0.992592706,ST,hard
012EROP,ME,9.940741645,ST,medium
012EROP,PH,0.8740743,ST,medium
012EROP,TI,10.08888889,ST,medium
012EROP,PE,1.03703715,ST,medium
012EROP,EF,2,ST,medium
012EROP,FR,2,ST,medium
012EROP,ME,10.16296387,MS,medium
012EROP,PH,0.977777778,MS,medium
012EROP,TI,0.903703817,MS,medium
012EROP,PE,6.088888889,MS,medium
012EROP,EF,6.088888889,MS,medium
012EROP,FR,6.088888889,MS,medium
012EROP,ME,9.911111111,MS,hard
012EROP,PH,1.125926039,MS,hard
012EROP,TI,4.859259711,MS,hard
012EROP,PE,4.814815267,MS,hard
012EROP,EF,4.814815267,MS,hard
012EROP,FR,4.814815267,MS,hard
012EROP,ME,9.925926378,MS,easy
012EROP,PH,1.03703715,MS,easy
012EROP,TI,2,MS,easy
012EROP,PE,7.955555556,MS,easy
012EROP,EF,4.962963189,MS,easy
012EROP,FR,4.962963189,MS,easy
012EROP,ME,1.214814928,MR,hard
012EROP,PH,1.214814928,MR,hard
012EROP,TI,1.214814928,MR,hard
012EROP,PE,0.192592706,MR,hard
012EROP,EF,1.985185411,MR,hard
012EROP,FR,1.985185411,MR,hard
012EROP,ME,1.985185411,MR,medium
012EROP,PH,1.155555556,MR,medium
012EROP,TI,1.155555556,MR,medium
012EROP,PE,0.014814928,MR,medium
012EROP,EF,1.096296522,MR,medium
012EROP,FR,1.096296522,MR,medium
012EROP,ME,1.096296522,MR,easy
012EROP,PH,1.096296522,MR,easy
012EROP,TI,1.096296522,MR,easy
012EROP,PE,0.133333333,MR,easy
012EROP,EF,0.903703817,MR,easy
012EROP,FR,0.903703817,MR,easy
013ERVB,ME,0.178861789,MS,easy
013ERVB,PH,0.157181572,MS,easy
013ERVB,TI,0.048780488,MS,easy
013ERVB,PE,19.86449864,MS,easy
013ERVB,EF,0.027100271,MS,easy
013ERVB,FR,0.330623306,MS,easy
013ERVB,ME,17.71815718,ST,hard
013ERVB,PH,6.20596206,ST,hard
013ERVB,TI,19.58265583,ST,hard
013ERVB,PE,12.21138211,ST,hard
013ERVB,EF,19.62601626,ST,hard
013ERVB,FR,13.100271,ST,hard
013ERVB,ME,18.71544715,MR,medium
013ERVB,PH,8.395663957,MR,medium
013ERVB,TI,4.579945799,MR,medium
013ERVB,PE,12.77506775,MR,medium
013ERVB,EF,18.28184282,MR,medium
013ERVB,FR,2.54200542,MR,medium
013ERVB,ME,19.49593496,MR,easy
013ERVB,PH,3.430894309,MR,easy
013ERVB,TI,6.487804878,MR,easy
013ERVB,PE,6.27100271,MR,easy
013ERVB,EF,19.69105691,MR,easy
013ERVB,FR,15.20325203,MR,easy
013ERVB,ME,11.51761518,MS,hard
013ERVB,PH,2.975609756,MS,hard
013ERVB,TI,11.64769648,MS,hard
013ERVB,PE,17.37127371,MS,hard
013ERVB,EF,4.623306233,MS,hard
013ERVB,FR,4.341463415,MS,hard
013ERVB,ME,2.563685637,ST,medium
013ERVB,PH,2.455284553,ST,medium
013ERVB,TI,2.54200542,ST,medium
013ERVB,PE,18.41192412,ST,medium
013ERVB,EF,2.498644986,ST,medium
013ERVB,FR,0.547425474,ST,medium
013ERVB,ME,0.37398374,MS,medium
013ERVB,PH,0.634146341,MS,medium
013ERVB,TI,0.482384824,MS,medium
013ERVB,PE,19.36585366,MS,medium
013ERVB,EF,0.265582656,MS,medium
013ERVB,FR,0.850948509,MS,medium
013ERVB,ME,0.37398374,ST,easy
013ERVB,PH,0.460704607,ST,easy
013ERVB,TI,0.460704607,ST,easy
013ERVB,PE,18.60704607,ST,easy
013ERVB,EF,0.43902439,ST,easy
013ERVB,FR,0.482384824,ST,easy
013ERVB,ME,18.71544715,MR,hard
013ERVB,PH,11.17073171,MR,hard
013ERVB,TI,1.414634146,MR,hard
013ERVB,PE,7.528455285,MR,hard
013ERVB,EF,19.53929539,MR,hard
013ERVB,FR,19.53929539,MR,hard
014ERAI,ME,14.92592638,ST,medium
014ERAI,PH,13.00740831,ST,medium
014ERAI,TI,15.90370416,ST,medium
014ERAI,PE,11.08148193,ST,medium
014ERAI,EF,15.06666667,ST,medium
014ERAI,FR,12.95555556,ST,medium
014ERAI,ME,18.82963053,MS,medium
014ERAI,PH,17.05185276,MS,medium
014ERAI,TI,17.95555556,MS,medium
014ERAI,PE,2.125926378,MS,medium
014ERAI,EF,16.98518609,MS,medium
014ERAI,FR,15.01481527,MS,medium
014ERAI,ME,16.05185276,MR,hard
014ERAI,PH,14.02963053,MR,hard
014ERAI,TI,5.881481934,MR,hard
014ERAI,PE,10.9481486,MR,hard
014ERAI,EF,13.97777778,MR,hard
014ERAI,FR,7.022222222,MR,hard
014ERAI,ME,11.92592638,ST,easy
014ERAI,PH,11.00740831,ST,easy
014ERAI,TI,12.91851942,ST,easy
014ERAI,PE,12,ST,easy
014ERAI,EF,11.92592638,ST,easy
014ERAI,FR,8.955555556,ST,easy
014ERAI,ME,16.97777778,MS,hard
014ERAI,PH,14.97037082,MS,hard
