level,task,order,id
easy,MR,6,7SltMY2Jba
easy,ST,7,7SltMY2Jba
hard,MR,8,7SltMY2Jba
hard,MS,9,7SltMY2Jba
hard,ST,1,PbOEQpRS9f
medium,MS,2,PbOEQpRS9f
hard,MS,3,PbOEQpRS9f
easy,MR,4,PbOEQpRS9f
hard,MR,5,PbOEQpRS9f
medium,MR,6,PbOEQpRS9f
easy,MS,7,PbOEQpRS9f
easy,ST,8,PbOEQpRS9f
medium,ST,9,PbOEQpRS9f
medium,ST,1,yTPpr0532t
medium,MR,2,yTPpr0532t
hard,ST,3,yTPpr0532t
medium,MS,4,yTPpr0532t
easy,MR,5,yTPpr0532t
hard,MS,6,yTPpr0532t
hard,MR,7,yTPpr0532t
easy,MS,8,yTPpr0532t
easy,ST,9,yTPpr0532t
easy,MS,1,YlvUbMLU90
hard,ST,2,YlvUbMLU90
hard,MS,3,YlvUbMLU90
easy,MR,4,YlvUbMLU90
medium,MS,5,YlvUbMLU90
hard,MR,6,YlvUbMLU90
medium,MR,7,YlvUbMLU90
easy,ST,8,YlvUbMLU90
medium,ST,9,YlvUbMLU90
hard,MR,1,WQyxRdU13t
easy,ST,2,WQyxRdU13t
hard,MS,3,WQyxRdU13t
medium,MS,4,WQyxRdU13t
easy,MR,5,WQyxRdU13t
hard,ST,6,WQyxRdU13t
easy,MS,7,WQyxRdU13t
medium,ST,8,WQyxRdU13t
medium,MR,9,WQyxRdU13t
medium,MS,1,u8oFh0ZHHs
medium,MR,2,u8oFh0ZHHs
hard,MS,3,u8oFh0ZHHs
easy,MS,4,u8oFh0ZHHs
hard,ST,5,u8oFh0ZHHs
medium,ST,6,u8oFh0ZHHs
easy,MR,7,u8oFh0ZHHs
easy,ST,8,u8oFh0ZHHs
hard,MR,9,u8oFh0ZHHs
easy,MS,1,lO4tI9SjJX
medium,ST,2,lO4tI9SjJX
medium,MR,3,lO4tI9SjJX
hard,ST,4,lO4tI9SjJX
hard,MR,5,lO4tI9SjJX
easy,MR,6,lO4tI9SjJX
medium,MS,7,lO4tI9SjJX
easy,ST,8,lO4tI9SjJX
hard,MS,9,lO4tI9SjJX
hard,MR,1,5oMH7YJKDi
medium,MS,2,5oMH7YJKDi
hard,MS,3,5oMH7YJKDi
easy,MS,4,5oMH7YJKDi
easy,MR,5,5oMH7YJKDi
hard,ST,6,5oMH7YJKDi
medium,ST,7,5oMH7YJKDi
medium,MR,8,5oMH7YJKDi
easy,ST,9,5oMH7YJKDi
easy,MS,1,wBsXFrRWgF
easy,MR,2,wBsXFrRWgF
medium,ST,3,wBsXFrRWgF
easy,ST,4,wBsXFrRWgF
medium,MS,5,wBsXFrRWgF
medium,MR,6,wBsXFrRWgF
hard,MS,7,wBsXFrRWgF
hard,ST,8,wBsXFrRWgF
hard,MR,9,wBsXFrRWgF
hard,MR,1,PkgTbVVI07
easy,ST,2,PkgTbVVI07
hard,ST,3,PkgTbVVI07
medium,MR,4,PkgTbVVI07
hard,MS,5,PkgTbVVI07
medium,MS,6,PkgTbVVI07
medium,ST,7,PkgTbVVI07
easy,MR,8,PkgTbVVI07
easy,MS,9,PkgTbVVI07
easy,MS,1,0wY7q7AFDw
hard,MS,2,0wY7q7AFDw
easy,ST,3,0wY7q7AFDw
easy,MR,4,0wY7q7AFDw
hard,ST,5,0wY7q7AFDw
medium,MS,6,0wY7q7AFDw
medium,ST,7,0wY7q7AFDw
medium,MR,8,0wY7q7AFDw
hard,MR,9,0wY7q7AFDw
easy,MS,1,woSzLv5BIV
easy,MR,2,woSzLv5BIV
hard,ST,3,woSzLv5BIV
medium,ST,4,woSzLv5BIV
medium,MS,5,woSzLv5BIV
hard,MR,6,woSzLv5BIV
medium,MR,7,woSzLv5BIV
hard,MS,8,woSzLv5BIV
easy,ST,9,woSzLv5BIV
medium,ST,1,O0ngZJhb9l
easy,MS,2,O0ngZJhb9l
hard,MR,3,O0ngZJhb9l
easy,MR,4,O0ngZJhb9l
medium,MS,5,O0ngZJhb9l
hard,ST,6,O0ngZJhb9l
easy,ST,7,O0ngZJhb9l
hard,MS,8,O0ngZJhb9l
medium,MR,9,O0ngZJhb9l
easy,MR,1,ttxEdLIMGM
easy,ST,2,ttxEdLIMGM
hard,MS,3,ttxEdLIMGM
medium,MS,4,ttxEdLIMGM
hard,ST,5,ttxEdLIMGM
medium,ST,6,ttxEdLIMGM
hard,MR,7,ttxEdLIMGM
medium,MR,8,ttxEdLIMGM
easy,MS,9,ttxEdLIMGM
hard,ST,1,pevbr5tS1I
easy,MR,2,pevbr5tS1I
medium,ST,3,pevbr5tS1I
easy,MS,4,pevbr5tS1I
hard,MS,5,pevbr5tS1I
hard,MR,6,pevbr5tS1I
easy,ST,7,pevbr5tS1I
medium,MR,8,pevbr5tS1I
medium,MS,9,pevbr5tS1I
easy,MS,1,zMSGYZOzxF
medium,ST,2,zMSGYZOzxF
hard,MS,3,zMSGYZOzxF
medium,MS,4,zMSGYZOzxF
easy,ST,5,zMSGYZOzxF
hard,MR,6,zMSGYZOzxF
hard,ST,7,zMSGYZOzxF
medium,MR,8,zMSGYZOzxF
easy,MR,9,zMSGYZOzxF
easy,MS,1,FgaXoRhEpQ
hard,MR,2,FgaXoRhEpQ
hard,ST,3,FgaXoRhEpQ
easy,MR,4,FgaXoRhEpQ
medium,ST,5,FgaXoRhEpQ
hard,MS,6,FgaXoRhEpQ
medium,MS,7,FgaXoRhEpQ
easy,ST,8,FgaXoRhEpQ
medium,MR,9,FgaXoRhEpQ
hard,MS,1,V4epNAqh9h
easy,ST,2,V4epNAqh9h
hard,ST,3,V4epNAqh9h
hard,MR,4,V4epNAqh9h
easy,MS,5,V4epNAqh9h
medium,MR,6,V4epNAqh9h
medium,ST,7,V4epNAqh9h
easy,MR,8,V4epNAqh9h
medium,MS,9,V4epNAqh9h
hard,ST,1,7s1EYKyluI
easy,MS,2,7s1EYKyluI
hard,MR,3,7s1EYKyluI
hard,MS,4,7s1EYKyluI
easy,MR,5,7s1EYKyluI
medium,ST,6,7s1EYKyluI
medium,MR,7,7s1EYKyluI
easy,ST,8,7s1EYKyluI
medium,MS,9,7s1EYKyluI
hard,ST,1,GxpGXkXK8v
medium,MS,2,GxpGXkXK8v
medium,ST,3,GxpGXkXK8v
easy,ST,4,GxpGXkXK8v
easy,MR,5,GxpGXkXK8v
hard,MS,6,GxpGXkXK8v
hard,MR,7,GxpGXkXK8v
medium,MR,8,GxpGXkXK8v
easy,MS,9,GxpGXkXK8v
easy,ST,1,W98TU3XJxb
easy,MR,2,W98TU3XJxb
medium,ST,3,W98TU3XJxb
medium,MR,4,W98TU3XJxb
easy,MS,5,W98TU3XJxb
hard,ST,6,W98TU3XJxb
medium,MS,7,W98TU3XJxb
hard,MS,8,W98TU3XJxb
hard,MR,9,W98TU3XJxb
easy,MS,1,yWB1eDgHxE
easy,MR,2,yWB1eDgHxE
medium,ST,3,yWB1eDgHxE
medium,MR,4,yWB1eDgHxE
hard,ST,5,yWB1eDgHxE
medium,MS,6,yWB1eDgHxE
easy,ST,7,yWB1eDgHxE
hard,MR,8,yWB1eDgHxE
hard,MS,9,yWB1eDgHxE
hard,ST,1,cdCa7qlKqK
easy,MS,2,cdCa7qlKqK
hard,MS,3,cdCa7qlKqK
medium,MS,4,cdCa7qlKqK
medium,MR,5,cdCa7qlKqK
easy,MR,6,cdCa7qlKqK
hard,MR,7,cdCa7qlKqK
medium,ST,8,cdCa7qlKqK
easy,ST,9,cdCa7qlKqK
easy,ST,1,0dkwUmCwzJ
medium,MR,2,0dkwUmCwzJ
hard,MS,3,0dkwUmCwzJ
hard,MR,4,0dkwUmCwzJ
easy,MS,5,0dkwUmCwzJ
easy,MR,6,0dkwUmCwzJ
medium,ST,7,0dkwUmCwzJ
medium,MS,8,0dkwUmCwzJ
hard,ST,9,0dkwUmCwzJ
hard,ST,1,h3qLkF1oCE
medium,MS,2,h3qLkF1oCE
medium,ST,3,h3qLkF1oCE
hard,MS,4,h3qLkF1oCE
easy,ST,5,h3qLkF1oCE
hard,MR,6,h3qLkF1oCE
easy,MS,7,h3qLkF1oCE
easy,MR,8,h3qLkF1oCE
medium,MR,9,h3qLkF1oCE
hard,MR,1,Q479YcpCNr
medium,MR,2,Q479YcpCNr
medium,ST,3,Q479YcpCNr
hard,ST,4,Q479YcpCNr
medium,MS,5,Q479YcpCNr
easy,ST,6,Q479YcpCNr
easy,MR,7,Q479YcpCNr
hard,MS,8,Q479YcpCNr
easy,MS,9,Q479YcpCNr
hard,ST,1,vBoSbHJ7AD
easy,MR,2,vBoSbHJ7AD
easy,MS,3,vBoSbHJ7AD
hard,MR,4,vBoSbHJ7AD
medium,MS,5,vBoSbHJ7AD
hard,MS,6,vBoSbHJ7AD
medium,MR,7,vBoSbHJ7AD
medium,ST,8,vBoSbHJ7AD
easy,ST,9,vBoSbHJ7AD
easy,MS,1,JIY5GSm8aI
medium,MR,2,JIY5GSm8aI
medium,ST,3,JIY5GSm8aI
medium,MS,4,JIY5GSm8aI
easy,ST,5,JIY5GSm8aI
easy,MR,6,JIY5GSm8aI
hard,ST,7,JIY5GSm8aI
hard,MS,8,JIY5GSm8aI
hard,MR,9,JIY5GSm8aI
hard,MS,1,KMzkcoEoDX
easy,MS,2,KMzkcoEoDX
medium,MR,3,KMzkcoEoDX
easy,ST,4,KMzkcoEoDX
hard,MR,5,KMzkcoEoDX
easy,MR,6,KMzkcoEoDX
medium,MS,7,KMzkcoEoDX
medium,ST,8,KMzkcoEoDX
hard,ST,9,KMzkcoEoDX
hard,MR,1,bKUxjX0i0W
easy,MS,2,bKUxjX0i0W
medium,MS,3,bKUxjX0i0W
easy,MR,4,bKUxjX0i0W
medium,MR,5,bKUxjX0i0W
hard,MS,6,bKUxjX0i0W
medium,ST,7,bKUxjX0i0W
hard,ST,8,bKUxjX0i0W
easy,ST,9,bKUxjX0i0W
easy,MS,1,cGANl4iQl1
medium,MR,2,cGANl4iQl1
easy,ST,3,cGANl4iQl1
hard,MR,4,cGANl4iQl1
hard,MS,5,cGANl4iQl1
medium,MS,6,cGANl4iQl1
medium,ST,7,cGANl4iQl1
hard,ST,8,cGANl4iQl1
easy,MR,9,cGANl4iQl1
easy,MS,1,jDL2pqqoXv
medium,ST,2,jDL2pqqoXv
hard,MR,3,jDL2pqqoXv
medium,MR,4,jDL2pqqoXv
easy,MR,5,jDL2pqqoXv
medium,MS,6,jDL2pqqoXv
hard,MS,7,jDL2pqqoXv
hard,ST,8,jDL2pqqoXv
easy,ST,9,jDL2pqqoXv
hard,MS,1,HV4ueBgaoL
easy,MR,2,HV4ueBgaoL
hard,MR,3,HV4ueBgaoL
easy,MS,4,HV4ueBgaoL
medium,ST,5,HV4ueBgaoL
medium,MR,6,HV4ueBgaoL
medium,MS,7,HV4ueBgaoL
hard,ST,8,HV4ueBgaoL
easy,ST,9,HV4ueBgaoL
medium,MS,1,2HJHCZEQE1
medium,MR,2,2HJHCZEQE1
easy,MS,3,2HJHCZEQE1
easy,ST,4,2HJHCZEQE1
easy,MR,5,2HJHCZEQE1
hard,ST,6,2HJHCZEQE1
hard,MS,7,2HJHCZEQE1
hard,MR,8,2HJHCZEQE1
medium,ST,9,2HJHCZEQE1
medium,MS,1,Fd15tXKjh3
easy,ST,2,Fd15tXKjh3
hard,MR,3,Fd15tXKjh3
hard,MS,4,Fd15tXKjh3
medium,MR,5,Fd15tXKjh3
medium,ST,6,Fd15tXKjh3
hard,ST,7,Fd15tXKjh3
easy,MR,8,Fd15tXKjh3
easy,MS,9,Fd15tXKjh3
medium,MS,1,E1wQ16OGRS
easy,MS,2,E1wQ16OGRS
easy,ST,3,E1wQ16OGRS
hard,MS,4,E1wQ16OGRS
easy,MR,5,E1wQ16OGRS
medium,MR,6,E1wQ16OGRS
medium,ST,7,E1wQ16OGRS
hard,ST,8,E1wQ16OGRS
hard,MR,9,E1wQ16OGRS
medium,MS,1,E6k5x9v8pf
easy,ST,2,E6k5x9v8pf
medium,ST,3,E6k5x9v8pf
easy,MS,4,E6k5x9v8pf
hard,MR,5,E6k5x9v8pf
medium,MR,6,E6k5x9v8pf
hard,MS,7,E6k5x9v8pf
easy,MR,8,E6k5x9v8pf
hard,ST,9,E6k5x9v8pf
hard,MS,1,cSI9W49vxo
hard,MR,2,cSI9W49vxo
medium,MS,3,cSI9W49vxo
easy,ST,4,cSI9W49vxo
medium,MR,5,cSI9W49vxo
easy,MS,6,cSI9W49vxo
hard,ST,7,cSI9W49vxo
medium,ST,8,cSI9W49vxo
easy,MR,9,cSI9W49vxo
